"blog-coments-header","Comments",NULL,"blog"
"blog-comments","Comments",NULL,"general"
"blog-comments_no_allowed","Comments are not allowed on this post",NULL,"blog"
"blog-comments_no_comments","This post has no comments",NULL,"blog"
"blog-main-header","Blog",NULL,"general"
"blog-no_comments","No comment",NULL,"blog"
"blog-no_posts","No posts have been published",NULL,"blog"
"blog-send_comment-button","Send",NULL,"blog"
"blog-send_comment-header","Write a comment",NULL,"blog"
"blog-side-last_comments","Latest comments",NULL,"blog"
"blog-side-last_posts","Nieuwste posts",NULL,"blog"
"blog-side-tags","Categories",NULL,"blog"
"call-apply-expired","The registration process for the campaign has ended",NULL,"call_public"
"call-apply-failed","An error has occurred while loading the campaign",NULL,"call_public"
"call-apply-notice","You must create a project to enter the campaign %s","1","call_public"
"call-field-amount","Budget",NULL,"call_form"
"call-field-apply","How to apply",NULL,"call_form"
"call-field-backimage","Pages background image",NULL,"call_form"
"call-field-call_location","Localization",NULL,"call_form"
"call-field-categories","Categories",NULL,"call_form"
"call-field-days","Number of days since application",NULL,"call_form"
"call-field-description","Announcement of the campaign",NULL,"call_form"
"call-field-dossier","URL with the complete information of the PDF",NULL,"call_form"
"call-field-icons","Types of return",NULL,"call_form"
"call-field-image","Widget image",NULL,"call_form"
"call-field-legal","Terms & conditions",NULL,"call_form"
"call-field-logo","Logo of the campaign",NULL,"call_form"
"call-field-maxdrop","Maximum flow of contribution",NULL,"call_form"
"call-field-name","Campaign name",NULL,"call_form"
"call-field-scope","Scope of the call",NULL,"call_form"
"call-field-subtitle","Subtitle sentence",NULL,"call_form"
"call-field-whom","Who can participate",NULL,"call_form"
"call-form-ajax-info","The request form will be saved according to passes for eacht field",NULL,"call_form"
"call-go_dashboard-button","Back to Dashboard",NULL,"call_form"
"call-info-apply-header","How can I publish a project?",NULL,"call_public"
"call-info-main-header","General information about the campaign",NULL,"call_public"
"call-info-whom-header","Who is participating?",NULL,"call_public"
"call-overview-main-header","Description",NULL,"call_form"
"call-projects_table-head","Contributions: - Campaign-Users",NULL,"call_public"
"call-review-confirm_mail-fail","Failed to send confirmation mail",NULL,"call_form"
"call-review-confirm_mail-success","onfirmation mail has been sent",NULL,"call_form"
"call-review-request_mail-fail","Failed to send a review request mail",NULL,"call_form"
"call-review-request_mail-success","Review request mail sent",NULL,"call_form"
"call-see_main-button","Preview main page",NULL,"call_form"
"call-see_splash-button","Preview splash screen",NULL,"call_form"
"call-splash-applied_projects-header","Registered projects",NULL,"call_public"
"call-splash-apply-button","Participate",NULL,"call_public"
"call-splash-campaign_title","Campaign",NULL,"call_public"
"call-splash-categories-header","Projects in the categories",NULL,"call_public"
"call-splash-dossier-link","Download bases pdf",NULL,"call_public"
"call-splash-icons-header","Projects with returns",NULL,"call_public"
"call-splash-invest_explain","For every <strong>1&euro;</strong> you give to a project, <strong>%s</strong> gives another <strong>1&euro;</strong> to the same project.","1","call_public"
"call-splash-invest_explain_this","For every <strong>1&euro;</strong> you give to this project, <strong>%s</strong> gives another <strong>1&euro;</strong>.","1","call_public"
"call-splash-legal-link","Terms & Conditions",NULL,"call_public"
"call-splash-location-header","Campaign only for projects in:",NULL,"call_public"
"call-splash-more_info-button","More info...",NULL,"call_public"
"call-splash-more_info-header","More information",NULL,"call_public"
"call-splash-open_explain","The participating projects have been chosen in an open campaign",NULL,"call_public"
"call-splash-remain_budget-header","Remaining amount to be distributed",NULL,"call_public"
"call-splash-resources-header","Cloudfunding resources ",NULL,"call_public"
"call-splash-resources_explain","resources that projects can use ",NULL,"call_public"
"call-splash-runing_projects-header","Active projects",NULL,"call_public"
"call-splash-searching_projects","Projects Wanted!",NULL,"call_public"
"call-splash-see_projects-button","View the selected projects",NULL,"call_public"
"call-splash-selected_projects-header","Selected projects",NULL,"call_public"
"call-splash-success_projects-header","Successful projects",NULL,"call_public"
"call-splash-valid_until-header","Campaign valid until:",NULL,"call_public"
"call-splash-whole_budget-header","Total campaign budget",NULL,"call_public"
"call-terms-main-header","Terms & Conditions of the campaign",NULL,"call_public"
"call_header_riego","Cloudfunding",NULL,"call_public"
"call_header_whats_riego","What is CloudFunding?",NULL,"call_public"
"community-menu-activity","Activity",NULL,"menu"
"community-menu-main","Community",NULL,"menu"
"community-menu-sharemates","Sharing",NULL,"menu"
"contact-captcha-field","Test of humanity (sorry...)",NULL,"contact"
"contact-email-field","Email address",NULL,"contact"
"contact-message-field","Message",NULL,"contact"
"contact-name-field","Name",NULL,"contact"
"contact-send_message-button","Send",NULL,"contact"
"contact-send_message-header","Send us a message",NULL,"contact"
"contact-subject-field","Subject",NULL,"contact"
"cost-type-lend","Loan",NULL,"costs"
