"blog-coments-header","es","Comments"
"blog-comments","es","Comments"
"blog-comments_no_allowed","es","Comments are not allowed on this post"
"blog-comments_no_comments","es","This post has no comments"
"blog-main-header","es","Blog"
"blog-no_comments","es","No comment"
"blog-no_posts","es","No posts have been published"
"blog-send_comment-button","es","Send"
"blog-send_comment-header","es","Write a comment"
"blog-side-last_comments","es","Latest comments"
"blog-side-last_posts","es","Nieuwste posts"
"blog-side-tags","es","Categories"
"call-apply-expired","es","The registration process for the campaign has ended"
"call-apply-failed","es","An error has occurred while loading the campaign"
"call-apply-notice","es","You must create a project to enter the campaign %s"
"call-field-amount","es","Budget"
"call-field-apply","es","How to apply"
"call-field-backimage","es","Pages background image"
"call-field-call_location","es","Localization"
"call-field-categories","es","Categories"
"call-field-days","es","Number of days since application"
"call-field-description","es","Announcement of the campaign"
"call-field-dossier","es","URL with the complete information of the PDF"
"call-field-icons","es","Types of return"
"call-field-image","es","Widget image"
"call-field-legal","es","Terms & conditions"
"call-field-logo","es","Logo of the campaign"
"call-field-maxdrop","es","Maximum flow of contribution"
"call-field-name","es","Campaign name"
"call-field-scope","es","Scope of the call"
"call-field-subtitle","es","Subtitle sentence"
"call-field-whom","es","Who can participate"
"call-form-ajax-info","es","The request form will be saved according to passes for eacht field"
"call-go_dashboard-button","es","Back to Dashboard"
"call-header-social_spread","es","Spread the word!"
"call-info-apply-header","es","How can I publish a project?"
"call-info-main-header","es","General information about the campaign"
"call-info-whom-header","es","Who is participating?"
"call-overview-main-header","es","Description"
"call-projects_table-head","es","Contributions: - Campaign-Users"
"call-review-confirm_mail-fail","es","Failed to send confirmation mail"
"call-review-confirm_mail-success","es","onfirmation mail has been sent"
"call-review-request_mail-fail","es","Failed to send a review request mail"
"call-review-request_mail-success","es","Review request mail sent"
"call-see_main-button","es","Preview main page"
"call-see_splash-button","es","Preview splash screen"
"call-splash-applied_projects-header","es","Registered projects"
"call-splash-apply-button","es","Participate"
"call-splash-campaign_title","es","Campaign"
"call-splash-categories-header","es","Projects in the categories"
"call-splash-dossier-link","es","Download bases pdf"
"call-splash-icons-header","es","Projects with returns"
"call-splash-invest_explain","es","For every <strong>1&euro;</strong> you give to a project, <strong>%s</strong> gives another <strong>1&euro;</strong> to the same project."
"call-splash-invest_explain_this","es","For every <strong>1&euro;</strong> you give to this project, <strong>%s</strong> gives another <strong>1&euro;</strong>."
"call-splash-legal-link","es","Terms & Conditions"
"call-splash-location-header","es","Campaign only for projects in:"
"call-splash-more_info-button","es","More info..."
"call-splash-more_info-header","es","More information"
"call-splash-open_explain","es","The participating projects have been chosen in an open campaign"
"call-splash-remain_budget-header","es","Remaining amount to be distributed"
"call-splash-resources-header","es","Cloudfunding resources "
"call-splash-resources_explain","es","resources that projects can use "
"call-splash-runing_projects-header","es","Active projects"
"call-splash-searching_projects","es","Projects Wanted!"
"call-splash-see_projects-button","es","View the selected projects"
"call-splash-selected_projects-header","es","Selected projects"
"call-splash-success_projects-header","es","Successful projects"
"call-splash-valid_until-header","es","Campaign valid until:"
"call-splash-whole_budget-header","es","Total campaign budget"
"call-terms-main-header","es","Terms & Conditions of the campaign"
"call_header_riego","es","Cloudfunding"
"call_header_whats_riego","es","What is CloudFunding?"
